circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
NALGONDA,DEVARAKONDA,DEVARAKONDA,NEREDUGOMMU,NEREDIGOMMU,GENERAL PURPOSE,7,11,4.0,4479,29.24
NALGONDA,DEVARAKONDA,DEVARAKONDA,NEREDUGOMMU,PEDDA MUNIGAL,GENERAL PURPOSE,7,7,5.0,0,5.12
NALGONDA,DEVARAKONDA,DEVARAKONDA,NEREDUGOMMU,PERVALA,GENERAL PURPOSE,7,1,,0,0.44
NALGONDA,DEVARAKONDA,DEVARAKONDA,NEREDUGOMMU,TIMMAPUR,GENERAL PURPOSE,7,3,1.0,0,3.0
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,NIDAMANOOR,GENERAL PURPOSE,7,20,17.0,2960,47.9
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,PARAVATHIPURAM,GENERAL PURPOSE,7,2,1.0,7,1.32
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,RAJANNAGUDA,GENERAL PURPOSE,7,3,2.0,49,2.36
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,RAMANAGAR (T),GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,REGULAGADDA,GENERAL PURPOSE,7,2,1.0,0,1.5
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,SHAKAPURAM,GENERAL PURPOSE,7,4,4.0,2041,5.24
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-I,SEETHARAMPURAM,GENERAL PURPOSE,7,13,13.0,4155,9.48
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-I,TOWN-I,GENERAL PURPOSE,7,5,,0,2.38
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-I,VIDYANAGAR,GENERAL PURPOSE,7,21,20.0,3223,23.07
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-II,HANUMANPET,GENERAL PURPOSE,7,9,9.0,1349,5.98
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-II,MIRYALAGUDA TOWN--II,GENERAL PURPOSE,7,2,2.0,6835,18.0
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-II,MIRYALAGUDA TOWN-2,GENERAL PURPOSE,7,9,8.0,17115,112.26
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,BOLLIGUTTA (T),GENERAL PURPOSE,7,1,1.0,100,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,BOTHALAPALEM,GENERAL PURPOSE,7,1,1.0,0,0.22
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,DAMERACHERLA,GENERAL PURPOSE,7,15,10.0,18671,145.62
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,DAMERACHERLA B,GENERAL PURPOSE,7,5,5.0,245,6.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,KAPUVARI GUDEM,GENERAL PURPOSE,7,1,1.0,42,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,KONATHALAPALLY,GENERAL PURPOSE,7,2,2.0,11,2.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,MARRIGUDA,GENERAL PURPOSE,7,1,1.0,44,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,MATOOR,GENERAL PURPOSE,7,5,4.0,0,5.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,MUNGABAIGUDEM,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,NARLAKANTIGUDEM,GENERAL PURPOSE,7,1,1.0,201,1.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,NEREDUGOMMU,VIZAGCOLONY,GENERAL PURPOSE,7,2,2.0,33,2.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,AKKAMPALLY,GENERAL PURPOSE,7,1,1.0,33,1.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,ANGADIPET,GENERAL PURPOSE,7,2,2.0,99,2.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,AZMAPUR,GENERAL PURPOSE,7,5,3.0,279,2.46
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,CHILUKAMARRI,GENERAL PURPOSE,7,2,1.0,0,1.18
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,SOMAVARIGUDA,GENERAL PURPOSE,7,2,2.0,0,2.0
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,SUREPALLY,GENERAL PURPOSE,7,2,1.0,15,2.24
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,TUMMADAM,GENERAL PURPOSE,7,3,1.0,0,1.25
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,VADARI GUDEM,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,VALLABAPURAM,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,VANIGUNDLA,GENERAL PURPOSE,7,3,2.0,34,2.24
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-II,N S P CAMP,GENERAL PURPOSE,7,5,5.0,2151,17.84
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-II,PRAKASH NAGAR,GENERAL PURPOSE,7,7,7.0,575,6.26
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-II,REDDY COLONY,GENERAL PURPOSE,7,6,6.0,1006,9.24
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-II,SANTHOSH NAGAR,GENERAL PURPOSE,7,1,1.0,67,1.0
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-II,SHANTI NAGAR,GENERAL PURPOSE,7,3,3.0,123,3.0
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA TOWN-II,VINOBHA NAGAR,GENERAL PURPOSE,7,10,10.0,1938,12.04
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,DILWARPOOR,GENERAL PURPOSE,7,1,1.0,252,0.5
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,DUBBA (T)-VK,GENERAL PURPOSE,7,1,1.0,7,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,GANESH PAHAD,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,NELAIGUDEM,GENERAL PURPOSE,7,2,2.0,168,1.18
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,PALTHI THANDA,GENERAL PURPOSE,7,1,1.0,1,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,PALUGU THANDA,GENERAL PURPOSE,7,2,2.0,282,2.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,PANUGOTHU THANDA,GENERAL PURPOSE,7,1,1.0,29,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,PEDADEVULAPALLY,GENERAL PURPOSE,7,5,2.0,571,4.16
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,CHINTALTHANDA,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,DUGGYALA,GENERAL PURPOSE,7,3,3.0,2504,11.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,GATTUNEMILIPUR,GENERAL PURPOSE,7,1,1.0,18,1.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,GHAN BHEEMANAPALLY,GENERAL PURPOSE,7,2,1.0,61,1.3
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,GHAN PALLY,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,GHANPUR,GENERAL PURPOSE,7,2,1.0,82,0.64
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,VEMPHAD,GENERAL PURPOSE,7,5,5.0,4713,13.0
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,VENGANNAGUDEM,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,VENKATAPURAM,GENERAL PURPOSE,7,2,2.0,40,2.0
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,VOOTKUR,GENERAL PURPOSE,7,5,2.0,0,3.44
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,YARRABALLI,GENERAL PURPOSE,7,3,1.0,124,1.68
NALGONDA,MIRYALGUDA,HALIA,NIDAMANUR,YERRAGUDA,GENERAL PURPOSE,7,1,1.0,22,1.0
NALGONDA,MIRYALGUDA,HALIA,PEDAVURA,BASAN BAI (T),GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA(RURAL),ALAGADAPA,GENERAL PURPOSE,7,4,4.0,2141,4.3
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA(RURAL),AVANTHI PURAM,GENERAL PURPOSE,7,6,6.0,121,7.48
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA(RURAL),AVANTHIPURAM,GENERAL PURPOSE,7,2,1.0,11290,25.0
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA(RURAL),B.ANNARAM,GENERAL PURPOSE,7,3,3.0,0,3.0
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA(RURAL),BADALAPOOR,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA(RURAL),BALLU NAIK(T),GENERAL PURPOSE,7,1,1.0,16,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,JAITHRAM (T),GENERAL PURPOSE,7,1,1.0,47,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,KESHAVAPURAM,GENERAL PURPOSE,7,2,2.0,15,2.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,KETHAVATH (T),GENERAL PURPOSE,7,1,1.0,63,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,RAGADAPA,GENERAL PURPOSE,7,3,3.0,318,2.24
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,RAJENDRA NAGAR,GENERAL PURPOSE,7,2,2.0,31,2.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,SATYAMPADU,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,SATYANARAYANPUR,GENERAL PURPOSE,7,2,1.0,0,1.36
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,SEETHA THANDA,GENERAL PURPOSE,7,1,1.0,47,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,TRIPURARAM,TRIPURARAM,GENERAL PURPOSE,7,12,11.0,1187,10.24
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,GUDIPALLY,GENERAL PURPOSE,7,3,3.0,116,1.82
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,KESHAVANENI PALLY,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,KODANDAPOOR,GENERAL PURPOSE,7,1,1.0,43,1.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,MADAPUR,GENERAL PURPOSE,7,1,1.0,36,1.0
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,MALLAPUR,GENERAL PURPOSE,7,2,1.0,26,1.44
NALGONDA,MIRYALGUDA,HALIA,PEDAVURA,BASIREDDY PALLY,GENERAL PURPOSE,7,2,2.0,0,1.18
NALGONDA,MIRYALGUDA,HALIA,PEDAVURA,BATTU GUDAM,GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,HALIA,PEDAVURA,CHELAKURTHY,GENERAL PURPOSE,7,6,5.0,20,4.36
NALGONDA,MIRYALGUDA,HALIA,PEDAVURA,CHINNA GUDAM,GENERAL PURPOSE,7,1,1.0,26,1.0
NALGONDA,MIRYALGUDA,HALIA,PEDAVURA,CHINTHAPALLY TH,GENERAL PURPOSE,7,1,,0,1.0
NALGONDA,MIRYALGUDA,HALIA,PEDAVURA,CHITHA PALLY,GENERAL PURPOSE,7,1,,0,1.0
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA(RURAL),CHILLAPOOR,GENERAL PURPOSE,7,2,2.0,-26,2.0
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA(RURAL),CHINTA PALLY,GENERAL PURPOSE,7,1,1.0,151,0.5
NALGONDA,MIRYALGUDA,MIRYALGUDA,MIRYALAGUDA(RURAL),DONDAVARI GUDEM,GENERAL PURPOSE,7,1,1.0,58,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,KONDRAPOLE,GENERAL PURPOSE,7,4,2.0,391,1.08
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,KOTHAPETA (T),GENERAL PURPOSE,7,1,1.0,130,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,LAVOORI (T),GENERAL PURPOSE,7,1,1.0,0,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,MAN (T),GENERAL PURPOSE,7,1,1.0,-6,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,DAMARACHARLA,MODUGULAKUNTA (T),GENERAL PURPOSE,7,1,,0,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,VEMULAPALLY,AMANAGAL,GENERAL PURPOSE,7,6,3.0,151,8.44
NALGONDA,MIRYALGUDA,VEMULAPALLY,VEMULAPALLY,ANNAPAREDDYGUDEM,GENERAL PURPOSE,7,2,1.0,19,2.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,VEMULAPALLY,BUGGABAIGUDEM,GENERAL PURPOSE,7,2,1.0,172,2.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,VEMULAPALLY,KAMEPALLY,GENERAL PURPOSE,7,1,1.0,42,1.0
NALGONDA,MIRYALGUDA,VEMULAPALLY,VEMULAPALLY,LAXMIDEVI GUDEM,GENERAL PURPOSE,7,2,1.0,0,1.18
NALGONDA,DEVARAKONDA,DEVARAKONDA,P.A.PALLI,MEDARAM,GENERAL PURPOSE,7,1,1.0,114,1.0
