Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,NIZAMABAD(RURAL),ASHOK FARM,6,STREET LIGHTS,1,1,332,0.6
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,NIZAMABAD(RURAL),CHAKRADHARNAGAR,6,STREET LIGHTS,2,2,475,4.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,NIZAMABAD(RURAL),DHARMARAM - (M),6,STREET LIGHTS,2,2,946,2.28
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,NIZAMABAD(RURAL),DHARMARAM - (M) T,6,STREET LIGHTS,2,2,380,6.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,NIZAMABAD(RURAL),GANDHI NAGAR - T,6,STREET LIGHTS,2,2,667,4.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,NIZAMABAD(RURAL),JALALPUR,6,STREET LIGHTS,3,3,735,6.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,NIZAMABAD(RURAL),KESHAPUR,6,STREET LIGHTS,2,2,435,6.56
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,NIZAMABAD(RURAL),KONDUR,6,STREET LIGHTS,6,6,843,8.0
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 2,SHUBASHNAGAR,N4,6,STREET LIGHTS,33,33,5623,86.0
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 2,SHUBASHNAGAR,N5,6,STREET LIGHTS,44,44,6772,56.0
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,ARYA NAGAR,6,STREET LIGHTS,25,25,3611,63.0
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,BORGAON (P),6,STREET LIGHTS,23,23,5494,48.7
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,L8,6,STREET LIGHTS,26,26,4318,80.0
