Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,BHOOPALPALLY,PULLURI RAMAIAHPALLY,8,TEMPORARY SUPPLY,5,3,117,13.0
BHUPALAPALLY,BHUPALAPALLY,CHITYAL,RAMAKRISHNAPUR,KUNDANPALLI,8,TEMPORARY SUPPLY,1,0,0,2.0
BHUPALAPALLY,BHUPALAPALLY,CHITYAL,RAMAKRISHNAPUR,RAGHAVAREDDYPET,8,TEMPORARY SUPPLY,1,0,0,5.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR RURAL,ANDAVELLY,8,TEMPORARY SUPPLY,1,0,0,41.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PARNASALA,8,TEMPORARY SUPPLY,1,1,355,4.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,CHUNCHUPALLY,4-INCLINE-KR,8,TEMPORARY SUPPLY,1,0,0,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,CHUNCHUPALLY,CHUNCHUPALLY,8,TEMPORARY SUPPLY,30,27,6313,77.76
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,SUJATHA NAGAR,SUJATHA NAGAR-KR,8,TEMPORARY SUPPLY,4,3,4307,18.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,GUNDALA,MUTTA PURAM-GUN,8,TEMPORARY SUPPLY,1,1,2031,5.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,VINAYAKAPURAM,ANATHARAM,8,TEMPORARY SUPPLY,1,1,661,2.0
BHUPALAPALLY,BHUPALAPALLY,CHITYAL,RAMAKRISHNAPUR,SOMANPALLI,8,TEMPORARY SUPPLY,1,0,0,2.0
BHUPALAPALLY,BHUPALAPALLY,CHITYAL,RAMAKRISHNAPUR,VENKATRAO PALLI,8,TEMPORARY SUPPLY,1,0,0,3.0
BHUPALAPALLY,MULUGU,ETURNAGARAM,KAMALAPUR,MANGAPET,8,TEMPORARY SUPPLY,1,1,0,1.0
BHUPALAPALLY,MULUGU,MULUG,THADVAI,ELBAKA,8,TEMPORARY SUPPLY,1,1,0,2.0
BHUPALAPALLY,MULUGU,MULUG,THADVAI,JAMPANAWAI,8,TEMPORARY SUPPLY,2,1,62,11.0
ADILABAD,ADILABAD,ADILABAD TOWN,ADILABAD - NORTH,ADILABAD - NORTH,8,TEMPORARY SUPPLY,1,0,0,1.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD,8,TEMPORARY SUPPLY,3,2,3,8.79
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR RURAL,BORIGAOM,8,TEMPORARY SUPPLY,5,3,794,8.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,LONAVELLY,8,TEMPORARY SUPPLY,1,0,0,3.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,PEREGOAN,8,TEMPORARY SUPPLY,1,1,71,3.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,SIRPOOR (TOWN),8,TEMPORARY SUPPLY,1,0,0,9.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,SANGAM (DUM),8,TEMPORARY SUPPLY,1,1,5,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - NORTH,KTDM BAZAR NORTH,8,TEMPORARY SUPPLY,28,23,8593,130.74
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - NORTH,OLD KOTHAGUDEM,8,TEMPORARY SUPPLY,14,11,6276,72.86
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - NORTH,SNR KOTHAGUDEM,8,TEMPORARY SUPPLY,21,17,2861,37.04
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,BOMMANA PALLY-TP,8,TEMPORARY SUPPLY,1,1,2176,2.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,KATARAM,CHINDNEPALLY,8,TEMPORARY SUPPLY,1,0,0,2.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,KATARAM,GANGARAM,8,TEMPORARY SUPPLY,1,0,0,2.0
BHUPALAPALLY,MULUGU,ETURNAGARAM,KAMALAPUR,THIMMAMPET,8,TEMPORARY SUPPLY,1,1,50,1.0
BHUPALAPALLY,MULUGU,MULUG,THADVAI,NARLAPUR,8,TEMPORARY SUPPLY,1,0,0,7.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),ANKUSAPOOR,8,TEMPORARY SUPPLY,2,1,5681,28.0
JANGAON,JANGAON,JANGAON,PEMBARTHY,PASARMADLA,8,TEMPORARY SUPPLY,1,0,0,8.0
KAMAREDDY,BANSWADA,BICHKUNDA,BICHKUNDA,WAJEEDNAGAR,8,TEMPORARY SUPPLY,1,0,0,5.0
KAMAREDDY,KAMAREDDY,DOMAKONDA,BIBIPET,YADARAM,8,TEMPORARY SUPPLY,1,0,0,2.0
KAMAREDDY,KAMAREDDY,DOMAKONDA,DOMAKONDA,ANCHANOOR,8,TEMPORARY SUPPLY,1,0,0,2.0
KAMAREDDY,KAMAREDDY,DOMAKONDA,DOMAKONDA,SANGENATHPALLY,8,TEMPORARY SUPPLY,1,0,0,1.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,TADWAI,YERRAPAHAD,8,TEMPORARY SUPPLY,2,0,0,2.95
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,GANDHARI,8,TEMPORARY SUPPLY,2,1,903,20.0
KARIMNAGAR,HUZURABAD,HUZURABAD,HUZURABAD RURAL,SINGAPUR,8,TEMPORARY SUPPLY,1,1,805,19.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,KOTHAKONDA,MUSTHAFAPUR,8,TEMPORARY SUPPLY,1,1,459,2.0
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,NARAYANAGIRI,GOLLAKISTAMPALLY,8,TEMPORARY SUPPLY,1,1,261,5.0
