circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GOUTHAM PURI,NON-DOMESTIC AND COMMERCIAL,2,22,21.0,3291,50.6
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GRC HV ERRAGADDA,NON-DOMESTIC AND COMMERCIAL,2,195,164.0,225075,1917.8
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,HEMAWATHI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,94,90.0,10814,128.13
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTHI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,62,60.0,16146,153.34
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMRUTHA HILLS,NON-DOMESTIC AND COMMERCIAL,2,85,72.0,18160,486.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S HARI GATE,NON-DOMESTIC AND COMMERCIAL,2,59,40.0,27086,195.9
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S MAKTHA APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,35,34.0,9899,143.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S MAKTHA II{MYSAMMA TEMPLE},NON-DOMESTIC AND COMMERCIAL,2,63,58.0,7533,122.85
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA,NON-DOMESTIC AND COMMERCIAL,2,57,52.0,6858,75.6
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA(MASJID),NON-DOMESTIC AND COMMERCIAL,2,66,52.0,9904,136.25
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,DURGA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,153,121.0,31840,506.2
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV GREENLANDS,NON-DOMESTIC AND COMMERCIAL,2,887,648.0,798687,10339.27
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV SOMAJIGUDA,NON-DOMESTIC AND COMMERCIAL,2,691,500.0,514646,9172.39
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTHI NAGAR (EXTN) NEAR AVANTH,NON-DOMESTIC AND COMMERCIAL,2,41,37.0,4666,50.64
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTINAGAR (NORTH)- COMMIT HALL,NON-DOMESTIC AND COMMERCIAL,2,125,118.0,21822,262.1
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NATRAJ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,73,69.0,6185,71.2
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NETAJI NAGAR II- BILLAL CAFE,NON-DOMESTIC AND COMMERCIAL,2,41,39.0,7368,42.58
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NETAJI NAGAR-EK MINAR MASJID,NON-DOMESTIC AND COMMERCIAL,2,90,88.0,14641,134.88
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW ERRAGADDA-BANJARA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,201,198.0,37438,439.31
