circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
MEDCHAL,JEEDIMETLA,JEEDIMETLA,JEEDIMETLA(IDA),I D A,DOMESTIC,1,1,,0,1.0
MEDCHAL,JEEDIMETLA,JEEDIMETLA,JEEDIMETLA(IDA),KALAVATHI NAGAR,DOMESTIC,1,881,862.0,71365,985.16
MEDCHAL,JEEDIMETLA,JEEDIMETLA,JEEDIMETLA(IDA),LAST BUS STOP,DOMESTIC,1,976,954.0,92192,1830.94
MEDCHAL,JEEDIMETLA,SHAPUR NAGAR,SHAPURNAGAR,APURUPA COLONY,DOMESTIC,1,1,1.0,304,13.0
MEDCHAL,JEEDIMETLA,SHAPUR NAGAR,SHAPURNAGAR,APURUPA TOWN SHIP,DOMESTIC,1,477,472.0,46533,968.93
MEDCHAL,JEEDIMETLA,SHAPUR NAGAR,SHAPURNAGAR,B.C WELFARE SAIBABA NAGAR,DOMESTIC,1,13,13.0,93,9.76
MEDCHAL,JEEDIMETLA,SHAPUR NAGAR,SHAPURNAGAR,BAGHAT SINGH NAGAR,DOMESTIC,1,1147,1136.0,128110,1315.72
MEDCHAL,JEEDIMETLA,SHAPUR NAGAR,SHAPURNAGAR,D P COLONY,DOMESTIC,1,68,66.0,5822,95.29
MEDCHAL,JEEDIMETLA,SHAPUR NAGAR,SHAPURNAGAR,ENGINEERS SYNDICATE,DOMESTIC,1,8,6.0,6279,35.0
MEDCHAL,JEEDIMETLA,SHAPUR NAGAR,SHAPURNAGAR,FATHIMA BAKERY,DOMESTIC,1,492,492.0,50587,477.32
MEDCHAL,JEEDIMETLA,SHAPUR NAGAR,SHAPURNAGAR,GHMC PARK,DOMESTIC,1,658,658.0,75747,1308.44
MEDCHAL,JEEDIMETLA,SHAPUR NAGAR,SHAPURNAGAR,GIRI HOSPITAL SAI BABA NAGAR,DOMESTIC,1,549,544.0,57567,608.61
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,HYDERNAGAR-6,DOMESTIC,1,2240,2236.0,407911,6749.07
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,HYDERNAGAR-7,DOMESTIC,1,1746,1745.0,330603,6711.95
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,HYDRNAGAR,DOMESTIC,1,9,8.0,5413,92.0
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,JNNURM NIZAMPET,DOMESTIC,1,928,894.0,72081,618.23
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,JUNNRM2,DOMESTIC,1,1360,1355.0,97271,686.8
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,MAYURI NAGAR,DOMESTIC,1,2879,2854.0,496959,12706.63
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,MAYURI NAGAR-2,DOMESTIC,1,2213,2210.0,381806,9907.49
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,MAYURI NAGAR-3,DOMESTIC,1,1751,1748.0,310352,7628.0
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,MIYAPUR,DOMESTIC,1,1504,1462.0,166765,2288.18
