circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,APARTMENT IN ARORA COLONY,NON-DOMESTIC AND COMMERCIAL,2,17,14.0,2736.0,80.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DK BASTI MASJID &APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,35,31.0,6366.0,91.44
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DWARAKAPURI COLONY,NON-DOMESTIC AND COMMERCIAL,2,163,136.0,64013.0,599.38
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DWARAKAPURI COLONY APPT,NON-DOMESTIC AND COMMERCIAL,2,433,373.0,110669.0,1999.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,GOWRISHANKER COLONY RDNO10&11,NON-DOMESTIC AND COMMERCIAL,2,133,118.0,14392.0,212.73
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HINDI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,63,52.0,11767.0,153.9
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,NON-DOMESTIC AND COMMERCIAL,2,887,809.0,1475789.0,20866.2
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 2,3,AND14",NON-DOMESTIC AND COMMERCIAL,2,462,372.0,716668.0,9360.13
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",NON-DOMESTIC AND COMMERCIAL,2,861,705.0,1418022.0,19831.16
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO-4-5-6,NON-DOMESTIC AND COMMERCIAL,2,146,127.0,241428.0,3310.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"JOURNALIST NOVODAYA,U.B.COLONY",NON-DOMESTIC AND COMMERCIAL,2,414,325.0,108677.0,1602.85
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,KCR HOUSE  NANDI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,130,110.0,22370.0,253.3
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS,NON-DOMESTIC AND COMMERCIAL,2,98,52.0,20232.0,417.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,NON-DOMESTIC AND COMMERCIAL,2,767,679.0,1192495.0,18441.5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAIDU BASTHI,NON-DOMESTIC AND COMMERCIAL,2,42,41.0,3409.0,45.69
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NEW VENKATESHWARA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,145,140.0,18490.0,210.52
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"NEW ZOHRANAGAR,RD 10,B.HILLS",NON-DOMESTIC AND COMMERCIAL,2,93,66.0,30920.0,330.88
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,PANJAGUTTA POLICE QRTS.,NON-DOMESTIC AND COMMERCIAL,2,117,71.0,25067.0,317.76
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.14 AMRUTHA ENCLEVE APARTMET,NON-DOMESTIC AND COMMERCIAL,2,11,8.0,2657.0,48.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.14 POSH AREA@APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,135,110.0,37261.0,552.16
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.2 MAIN ROAD,NON-DOMESTIC AND COMMERCIAL,2,450,316.0,91537.0,1788.71
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.4 APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,55,54.0,12337.0,236.76
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.4 INDIVIDUAL SERVICES,NON-DOMESTIC AND COMMERCIAL,2,110,96.0,21665.0,310.52
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.5 PASH AREA@APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,55,40.0,8814.0,197.61
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.NO.10 HANGING APT TO BHEMAS,NON-DOMESTIC AND COMMERCIAL,2,160,113.0,35549.0,638.7
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.NO.10 TRIDENT TO MASQATI,NON-DOMESTIC AND COMMERCIAL,2,130,120.0,48717.0,674.6
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD NO. 11,NON-DOMESTIC AND COMMERCIAL,2,250,190.0,80201.0,1080.17
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD NO.1 BANJARA HILLS,NON-DOMESTIC AND COMMERCIAL,2,99,57.0,20627.0,351.38
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD NO.7 B HILLS SERVICES,NON-DOMESTIC AND COMMERCIAL,2,85,70.0,21614.0,291.9
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD.NO.5. D.K.BASTI ,NON-DOMESTIC AND COMMERCIAL,2,95,89.0,10222.0,125.18
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD.NO.8 & 9 B HILLS SERVICES,NON-DOMESTIC AND COMMERCIAL,2,48,47.0,19446.0,251.1
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SHOWKATH NGR & KBR PARK LINE,NON-DOMESTIC AND COMMERCIAL,2,227,188.0,49244.0,723.69
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SINGADI KUNTA ,NON-DOMESTIC AND COMMERCIAL,2,247,219.0,56156.0,646.58
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SRINIKETAN COLONY,NON-DOMESTIC AND COMMERCIAL,2,117,103.0,43208.0,498.92
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,15,15.0,4920.0,25.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,UDAYANAGAR,NON-DOMESTIC AND COMMERCIAL,2,140,132.0,14113.0,176.6
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR," ROAD NO-13, B.HILLS",NON-DOMESTIC AND COMMERCIAL,2,113,95.0,24475.0,464.05
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"AMBEDKAR NAGAR, BJR NAGAR",NON-DOMESTIC AND COMMERCIAL,2,74,63.0,6105.0,90.32
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,APARTMENTS SERVICES RD NO.12,NON-DOMESTIC AND COMMERCIAL,2,168,153.0,49199.0,749.6
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,BADRUKA&ITQ& ROCK ROOF APTS,NON-DOMESTIC AND COMMERCIAL,2,58,52.0,12744.0,251.4
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,BALREDDY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,15,11.0,1633.0,21.37
