circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR,SHADNAGAR RURAL,BUCHIGUDA,INDUSTRIAL,3,4,1.0,1194,104.25
RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR,SHADNAGAR RURAL,BURGUL,INDUSTRIAL,3,12,4.0,7533,334.8
RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR,SHADNAGAR RURAL,CHATTANPALLY,INDUSTRIAL,3,189,150.0,61827,1584.99
RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR,SHADNAGAR RURAL,CHILKAMARRY,INDUSTRIAL,3,12,4.0,13551,403.5
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,MD PALLY,PRAGATHI COLONY,INDUSTRIAL,3,3,1.0,2257,114.0
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,MD PALLY,STREET LIGHT ,INDUSTRIAL,3,6,6.0,2950,46.5
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,MD PALLY,URRAM GADDA,INDUSTRIAL,3,1,1.0,20930,69.0
RAJENDRA NAGAR,RAJENDRA NAGAR,SHAMSHABAD,SHAMSHABAD,AMMAPALLY,INDUSTRIAL,3,3,,0,21.75
RAJENDRA NAGAR,SHADNAGAR,KOTHUR,NANDIGAMA,MAMIDI PALLY,INDUSTRIAL,3,3,2.0,5,22.5
RAJENDRA NAGAR,SHADNAGAR,KOTHUR,NANDIGAMA,MEKAGUDA,INDUSTRIAL,3,15,3.0,5960,411.23
RAJENDRA NAGAR,SHADNAGAR,KOTHUR,NANDIGAMA,MODALLA GUDA,INDUSTRIAL,3,1,1.0,0,6.75
RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR,SHADNAGAR RURAL,CHINCHODE,INDUSTRIAL,3,4,4.0,8406,143.25
RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR,SHADNAGAR RURAL,CHINTAGUDEM,INDUSTRIAL,3,1,,0,7.5
RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR,SHADNAGAR RURAL,CHOWLAPALLY-F,INDUSTRIAL,3,7,5.0,707,129.8
RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR,SHADNAGAR RURAL,CT METERS SDNR RURAL,INDUSTRIAL,3,76,70.0,258701,3243.83
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,SHASTRIPURAM,HV ARAMGHAR,INDUSTRIAL,3,10,8.0,8568,228.75
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,SHASTRIPURAM,HV BABULREDDYNAGAR,INDUSTRIAL,3,137,104.0,824340,6798.83
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,SHASTRIPURAM,HV SHASTRIPURAM,INDUSTRIAL,3,32,10.0,11613,946.36
RAJENDRA NAGAR,RAJENDRA NAGAR,SHAMSHABAD,SHAMSHABAD,CHINNA GOLKONDA,INDUSTRIAL,3,3,1.0,0,11.25
RAJENDRA NAGAR,SHADNAGAR,KOTHUR,NANDIGAMA,NANDIGAMA-KT,INDUSTRIAL,3,119,61.0,273943,6002.5
