circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SAI NAGAR COLONY,NON-DOMESTIC AND COMMERCIAL,2,21,19.0,1282,41.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SAI NAGAR COLONY(MKBR LINE),NON-DOMESTIC AND COMMERCIAL,2,38,36.0,2734,81.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SAPTHAGIRI COLONY,NON-DOMESTIC AND COMMERCIAL,2,110,108.0,16966,193.6
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SHESHADRI ENCLAVE,NON-DOMESTIC AND COMMERCIAL,2,16,11.0,723,37.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SHIVALAYAM TEMPLE SIDE,NON-DOMESTIC AND COMMERCIAL,2,55,51.0,19564,245.72
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SINGAPUR CITY,NON-DOMESTIC AND COMMERCIAL,2,3,3.0,378,6.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SINGAPUR CITY 1,NON-DOMESTIC AND COMMERCIAL,2,10,8.0,2986,40.0
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SINGAPURE TOWNSHIP-2,NON-DOMESTIC AND COMMERCIAL,2,15,10.0,3092,51.0
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,NARSIMHA SWAMY COLONY,NON-DOMESTIC AND COMMERCIAL,2,17,14.0,1748,28.6
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,NEW VENKATESHWARA COLONY,NON-DOMESTIC AND COMMERCIAL,2,11,8.0,1179,24.0
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,NEWSANTOSHNAGAR,NON-DOMESTIC AND COMMERCIAL,2,12,11.0,1465,25.0
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,"RENUKA NAGAR,MOTHER TERESA CLY",NON-DOMESTIC AND COMMERCIAL,2,22,17.0,951,28.52
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,SANTHOSH NAGAR DURGA TEMPLE,NON-DOMESTIC AND COMMERCIAL,2,23,21.0,2012,34.24
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,SANTHOSH NAGAR GROUND,NON-DOMESTIC AND COMMERCIAL,2,24,21.0,1262,31.0
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,SANTOSH NAGAR BALAJI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,47,40.0,1724,67.1
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,SANTOSH NAGAR(HANUMAN TEMPLE),NON-DOMESTIC AND COMMERCIAL,2,35,26.0,1074,52.38
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,"SC & ST,BC CHENNAPURAM",NON-DOMESTIC AND COMMERCIAL,2,1,1.0,0,1.0
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,SCHEME,NON-DOMESTIC AND COMMERCIAL,2,149,147.0,12101,175.24
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,"SHANTHI NAGAR, FIRING KATTA",NON-DOMESTIC AND COMMERCIAL,2,25,24.0,2222,25.78
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,SHIVAJI NAGAR 2 HANUMAN TEMPLE,NON-DOMESTIC AND COMMERCIAL,2,9,6.0,373,9.02
HABSIGUDA,KEESARA,KEESARA,KEESARA,KURMA BHASTI,NON-DOMESTIC AND COMMERCIAL,2,9,9.0,629,17.0
HABSIGUDA,KEESARA,KEESARA,KEESARA,LALANGUDA,NON-DOMESTIC AND COMMERCIAL,2,3,3.0,184,11.0
HABSIGUDA,KEESARA,KEESARA,KEESARA,LAXMI NARSIMHA TEMPLE,NON-DOMESTIC AND COMMERCIAL,2,45,42.0,5351,126.0
HABSIGUDA,KEESARA,KEESARA,KEESARA,LAXMINAGAR,NON-DOMESTIC AND COMMERCIAL,2,92,84.0,9764,239.0
HABSIGUDA,KEESARA,KEESARA,KEESARA,LEGEND ENCLAVE,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,9,1.0
HABSIGUDA,KEESARA,KEESARA,KEESARA,LIONS CLUB HOSPITAL,NON-DOMESTIC AND COMMERCIAL,2,92,85.0,8803,156.0
HABSIGUDA,KEESARA,KEESARA,KEESARA,LONG SERVICE E,NON-DOMESTIC AND COMMERCIAL,2,49,44.0,3294,168.0
