Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,SEETHANAGARAM-YR,7,GENERAL,2,2,33,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,SUVARNAPURAM-YR,7,GENERAL,2,2,50,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,TEEGALANCHA-YR,7,GENERAL,1,1,21,1.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,THUNTABAL THANDA-YR,7,GENERAL,2,2,63,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,VEERA PURAM-YR,7,GENERAL,4,4,46,4.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,YELLA PURAM-YR,7,GENERAL,2,2,28,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,YEPALA GADDA-YR,7,GENERAL,2,2,10,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,ACHUTAPURAM,7,GENERAL,7,5,443,5.6
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,ALLIGUDEM,7,GENERAL,5,5,18,6.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,ASPT-,7,GENERAL,1,0,0,0.55
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,RANGAPURAM (MUL),7,GENERAL,1,1,102,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,DHARMAPURI,7,GENERAL,1,1,0,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,DIGNOOR,7,GENERAL,1,1,107,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,ESAPUR,7,GENERAL,1,1,0,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GANGAPOOR,7,GENERAL,1,1,0,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GIRAJI,7,GENERAL,1,1,0,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GIRNOOR,7,GENERAL,1,1,0,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GOKONDA,7,GENERAL,1,1,0,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GOSAI,7,GENERAL,1,1,0,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,GULABTHANDA,7,GENERAL,1,1,0,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,HARKAI,7,GENERAL,1,1,0,1.0
ADILABAD,ADILABAD,JAINATH,BELA,KARONI (K),7,GENERAL,1,0,0,1.0
ADILABAD,ADILABAD,JAINATH,BELA,KHADKI,7,GENERAL,1,1,11,1.0
ADILABAD,ADILABAD,JAINATH,BELA,KHOGDUR,7,GENERAL,1,0,0,0.66
ADILABAD,ADILABAD,JAINATH,BELA,KOBBAI,7,GENERAL,2,1,51,1.3
ADILABAD,ADILABAD,JAINATH,BELA,MALYALPUR,7,GENERAL,2,1,57,1.18
ADILABAD,ADILABAD,JAINATH,BELA,MANGROOL,7,GENERAL,3,2,13,2.1
ADILABAD,ADILABAD,JAINATH,BELA,MARUTHI GUDA,7,GENERAL,1,0,0,0.62
ADILABAD,ADILABAD,JAINATH,BELA,MASALA (B),7,GENERAL,2,0,0,0.88
ADILABAD,ADILABAD,JAINATH,BELA,MIDIPATAGUDA,7,GENERAL,1,0,0,1.0
ADILABAD,ADILABAD,JAINATH,BELA,MOHABBATPUR,7,GENERAL,1,1,55,0.994
ADILABAD,ADILABAD,JAINATH,BELA,PARDANGUDA,7,GENERAL,1,0,0,1.0
ADILABAD,ADILABAD,JAINATH,BELA,PATAGUDA,7,GENERAL,1,0,0,0.78
ADILABAD,ADILABAD,JAINATH,BELA,PATAN,7,GENERAL,2,1,54,1.1
ADILABAD,ADILABAD,JAINATH,BELA,PITGOAN,7,GENERAL,2,1,12,1.78
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KHADKI,7,GENERAL,1,1,0,0.344
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KHANDOW,7,GENERAL,1,1,71,1.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KOLAMA,7,GENERAL,2,0,0,0.688
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KONDI.KOLAMGUDA,7,GENERAL,3,3,0,1.032
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KOTHAPALLI (B),7,GENERAL,1,0,0,0.2
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KOTHAPALLI (C),7,GENERAL,3,3,0,2.344
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KOTHAPALLY (G),7,GENERAL,2,2,94,1.344
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KUNIKASA,7,GENERAL,1,1,0,0.344
ADILABAD,UTNOOR,UTNOOR,NARNOOR,LOKARI (B),7,GENERAL,1,1,0,1.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,LOKARI (K),7,GENERAL,4,4,176,6.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MADHVOOR,7,GENERAL,1,1,0,0.344
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MAHAGOAN (N),7,GENERAL,2,2,0,1.344
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MALANGI,7,GENERAL,5,5,0,4.344
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,KONDA PALLY (R),7,GENERAL,1,1,88,1.0
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,LAXIMIPUR,7,GENERAL,1,1,95,0.96
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,LETHANGUDA,7,GENERAL,1,1,0,0.96
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,NAMBALA,7,GENERAL,9,8,375,8.24
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,NARAYANAPUR,7,GENERAL,2,2,63,1.6
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,NAVEGAOM (R),7,GENERAL,4,2,830,3.21
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,PERSANAMBALA,7,GENERAL,1,1,111,1.0
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,POLTHAPALLI,7,GENERAL,1,1,65,0.96
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,POSHIGAON,7,GENERAL,2,2,50,2.0
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,PULIKUNTA,7,GENERAL,2,2,30,2.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,SIRPUR,MOTHIPATLAR,7,GENERAL,1,1,0,1.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,SIRPUR,MUNJEEGUDA,7,GENERAL,1,1,0,0.97
ASIFABAD,ASIFABAD,ASIFABAD RURAL,SIRPUR,NADDUM GUDDA,7,GENERAL,1,1,3,0.998
ASIFABAD,ASIFABAD,ASIFABAD RURAL,SIRPUR,NETNOOR,7,GENERAL,2,2,7,2.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,SIRPUR,PANGIDI,7,GENERAL,3,2,926,10.536
ASIFABAD,ASIFABAD,ASIFABAD RURAL,SIRPUR,PATEL GUDA,7,GENERAL,1,1,13,0.998
ASIFABAD,ASIFABAD,ASIFABAD RURAL,SIRPUR,PATKALMANSI,7,GENERAL,1,1,0,1.0
