Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KAMAREDDY,BANSWADA,BANSWADA,NASRULLABAD,DURKI,3,INDUSTRIAL,7,6,2306,200.9
KAMAREDDY,BANSWADA,PITLAM,PITLAM,MADDAL CHERU,3,INDUSTRIAL,5,4,10185,161.0
KAMAREDDY,BANSWADA,PITLAM,PITLAM,MARDANDA,3,INDUSTRIAL,1,1,115,3.0
KAMAREDDY,BANSWADA,PITLAM,PITLAM,PEDDA RAMPUR,3,INDUSTRIAL,6,1,0,142.2
KAMAREDDY,BANSWADA,PITLAM,PITLAM,PITLAM,3,INDUSTRIAL,65,44,33785,1517.88
KAMAREDDY,BANSWADA,PITLAM,PITLAM,POTHIREDDYPALLY,3,INDUSTRIAL,4,3,927,143.0
KAMAREDDY,BANSWADA,PITLAM,PITLAM,SIDDAPAUR,3,INDUSTRIAL,1,0,0,10.0
KAMAREDDY,BANSWADA,PITLAM,PITLAM,THIMMANAGAR,3,INDUSTRIAL,6,3,2823,234.66
KAMAREDDY,KAMAREDDY,DOMAKONDA,BHIKNOOR(NORTH),ANTHAMPALLI,3,INDUSTRIAL,5,4,6956,102.67
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY(R),GARGUL,3,INDUSTRIAL,2,1,72,15.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY(R),GUDEM,3,INDUSTRIAL,4,3,3318,116.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY(R),ISSROJIWADI,3,INDUSTRIAL,3,1,323,30.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY(R),KOTALPALLY,3,INDUSTRIAL,1,1,180,5.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY(R),KYASAMPALLY,3,INDUSTRIAL,8,5,1022,186.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY(R),LINGAIPALLY,3,INDUSTRIAL,1,0,0,10.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY(R),LINGAPOOR,3,INDUSTRIAL,6,3,2626,183.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY(R),NARSANNAPALLY,3,INDUSTRIAL,11,6,8684,185.83
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MALLAIPALLY,3,INDUSTRIAL,1,1,292,74.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MATHMAL,3,INDUSTRIAL,4,3,1058,137.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MEESANPALLI,3,INDUSTRIAL,3,1,0,15.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,Machapur,3,INDUSTRIAL,1,1,1287,5.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,PEDDA REDDY,3,INDUSTRIAL,7,2,9138,135.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,REPALLEWADA,3,INDUSTRIAL,2,1,0,125.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,RUDRARUM,3,INDUSTRIAL,6,3,618,39.5
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA RURALWEST,KANAGARTHY,3,INDUSTRIAL,2,2,555,105.0
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA RURALWEST,MALLIAL,3,INDUSTRIAL,3,2,1,55.0
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA RURALWEST,MARRIVANIPALLY(SIRSE,3,INDUSTRIAL,1,0,0,5.0
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA RURALWEST,RACHAPALLY,3,INDUSTRIAL,5,2,487,80.0
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA RURALWEST,SEETAMPET (BUJUNOOR),3,INDUSTRIAL,3,2,316,58.0
HANUMAKONDA,HANAMKONDA/RURAL,KAMALAPUR,ELKATHURTHY,JAGANNATHPOOR,3,INDUSTRIAL,3,1,276,4.0
HANUMAKONDA,HANAMKONDA/RURAL,KAMALAPUR,ELKATHURTHY,JEELGULA,3,INDUSTRIAL,18,10,2017,107.22
HANUMAKONDA,HANAMKONDA/RURAL,KAMALAPUR,ELKATHURTHY,KESHAVAPUR,3,INDUSTRIAL,5,2,894,53.0
HANUMAKONDA,HANAMKONDA/RURAL,KAMALAPUR,ELKATHURTHY,KOTHULNADUMA,3,INDUSTRIAL,6,4,1311,63.0
HANUMAKONDA,HANAMKONDA/RURAL,KAMALAPUR,ELKATHURTHY,PENCHIKALPET,3,INDUSTRIAL,8,6,7589,521.0
HANUMAKONDA,HANAMKONDA/RURAL,KAMALAPUR,ELKATHURTHY,SURARAM,3,INDUSTRIAL,14,7,3929,300.296
HANUMAKONDA,HANAMKONDA/RURAL,KAMALAPUR,ELKATHURTHY,THIMMAPUR,3,INDUSTRIAL,3,2,637,10.0
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),MACHILIBAZAR,MATWADA,3,INDUSTRIAL,4,0,0,103.0
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),MACHILIBAZAR,PEDDAMMAGADDA,3,INDUSTRIAL,1,1,458,13.16
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),MACHILIBAZAR,RANGAMPET,3,INDUSTRIAL,25,23,5200,403.63
JAGITYAL,JAGITYAL,DHARMAPURI,RAJARAMPALLY,GULLAKOTA     ,3,INDUSTRIAL,9,7,6917,268.5
JAGITYAL,JAGITYAL,DHARMAPURI,RAJARAMPALLY,KONDAPOOR     ,3,INDUSTRIAL,1,0,0,33.0
JAGITYAL,JAGITYAL,DHARMAPURI,RAJARAMPALLY,KOTHAPET      ,3,INDUSTRIAL,9,4,1728,163.5
JAGITYAL,JAGITYAL,DHARMAPURI,RAJARAMPALLY,PATHAGUDUR    ,3,INDUSTRIAL,4,4,3775,184.0
JAGITYAL,JAGITYAL,DHARMAPURI,RAJARAMPALLY,RAJARAMPALLY,3,INDUSTRIAL,9,9,1396,277.44
JAGITYAL,JAGITYAL,DHARMAPURI,VELGATOOR,CHEGGAYAM   (REC)             ,3,INDUSTRIAL,5,3,957,75.0
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,CHELGAL,3,INDUSTRIAL,20,12,4257,767.43
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,CHERLAPALLY,3,INDUSTRIAL,1,1,1725,65.0
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,DHAROOR,3,INDUSTRIAL,36,29,6674,468.24
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,ELDURTHY,3,INDUSTRIAL,3,3,354,34.0
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,GOLLAPALLE,3,INDUSTRIAL,1,1,53,2.66
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,HASNABAD,3,INDUSTRIAL,19,18,23138,677.52
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,LIMGAMPET,3,INDUSTRIAL,7,5,15637,161.66
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,MORAPALLY,3,INDUSTRIAL,5,4,4537,187.2
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,MOTHEY,3,INDUSTRIAL,10,7,38746,684.0
JAGITYAL,METPALLY,MALLAPOOR,IBRAHIMPATNAM,KESHAVAPOOR,3,INDUSTRIAL,2,2,1166,50.0
JAGITYAL,METPALLY,MALLAPOOR,IBRAHIMPATNAM,KOJANKOTHUR H/o V KU,3,INDUSTRIAL,1,1,552,28.15
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY TOWN-II,A4,3,INDUSTRIAL,2,1,67,26.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY TOWN-II,A9,3,INDUSTRIAL,8,7,1939,132.45
